"	bánh tráng","56","70","42","75","16","53","39","75","46","47","77","5","60","68","79","27","48","16","0","0","49","87","86","87","63","10","40","57","55","16","69","62","8","0","114","1","56","45","83","68","9","0","0","77","83","16","0","0","46","62","24","0","52","19","0","0","0","75","13","38","74","3","68","73","74","3","0","0","0","0","0","51","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	tiki ngon","25","25","45","41","49","16","22","23","47","38","47","65","72","71","8","0","11","37","7","40","4","25","21","20","54","36","46","28","3","0","0","16","7","0","52","6","47","28","6","42","12","0","0","0","0","0","0","0","0","0","0","0","0","29","8","0","0","26","2","0","9","2","23","2","0","42","26","36","31","34","4","41","66","68","62","55","83","56","57","45","76","27","49","80","105","112","109","101","87","46","10"
"	nước mắm","68","42","68","45","0","0","56","31","72","5","13","7","114","111","80","67","49","7","0","0","0","47","10","30","39","5","52","52","2","0","58","129","16","0","85","3","48","52","75","100","25","0","0","101","85","121","59","15","60","56","12","0","28","2","0","0","0","21","5","20","45","21","52","58","6","0","0","75","19","0","41","57","10","0","0","66","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	yến mạch","108","27","0","0","0","0","0","0","0","0","67","41","93","120","10","89","134","48","0","0","0","107","32","0","0","0","0","82","13","0","0","0","0","0","0","0","88","97","102","10","0","0","0","87","120","138","173","12","0","93","59","0","87","17","0","0","0","117","2","74","9","0","134","16","92","6","0","68","10","0","0","0","0","0","0","71","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	nước ngọt","31","49","42","70","11","29","37","49","105","4","35","21","81","152","92","7","76","4","0","0","0","85","12","0","0","0","80","56","7","0","0","0","0","0","42","4","40","8","63","57","14","0","0","43","117","136","91","5","0","51","11","0","17","4","35","11","0","34","11","74","106","19","69","76","58","8","0","58","8","0","37","56","8","0","0","39","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	dầu ăn simply","62","13","0","57","16","0","68","10","0","0","0","0","0","112","40","11","73","19","0","0","0","52","18","0","0","0","22","43","44","5","44","116","12","0","0","0","55","65","117","91","6","0","0","133","260","111","87","10","0","69","10","0","0","0","0","0","0","37","11","40","42","6","56","55","48","10","0","60","13","0","36","37","12","0","0","78","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	big c","41","42","29","29","17","30","26","26","37","26","31","40","37","41","20","18","15","33","30","49","24","20","27","26","32","30","23","44","22","28","19","45","28","25","34","47","33","33","33","37","26","38","38","30","25","33","24","28","20","29","36","27","26","26","16","24","25","16","20","23","34","21","15","32","20","31","32","49","27","38","27","17","34","22","17","22","39","34","17","16","21","15","23","12","13","16","17","3","8","6","6"
"	sữa chua hy lạp vinamilk","26","36","28","34","0","29","43","21","18","27","19","22","28","29","35","32","31","32","26","26","29","35","20","28","21","19","18","20","17","25","27","15","21","10","21","14","21","10","15","16","35","11","24","24","24","23","21","15","14","21","29","24","19","26","57","54","51","23","47","28","23","30","28","41","29","33","29","39","32","27","43","41","28","21","28","30","28","23","37","27","23","22","29","75","42","31","24","20","20","19","4"
"	phô mai mozzarella","24","24","46","16","16","10","37","15","21","17","31","42","16","27","34","16","47","54","21","29","13","33","30","41","67","32","25","9","8","26","37","17","24","20","33","25","12","36","33","38","33","16","28","17","19","20","24","51","21","21","30","17","21","17","19","19","20","25","34","40","31","19","21","45","22","40","28","26","14","26","19","21","15","29","35","17","43","43","18","39","59","16","37","31","33","16","28","10","26","23","0"
"	mật ong","65","71","69","27","2","62","44","18","0","0","31","14","47","79","16","98","12","0","0","0","0","29","11","0","0","0","0","88","31","0","0","64","7","0","80","10","49","55","90","59","4","0","0","76","56","61","78","93","2","84","2","0","32","63","69","21","0","49","5","48","45","13","32","92","71","8","0","47","4","0","0","74","7","0","0","40","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	sữa chua","41","41","21","54","41","36","31","22","40","40","42","26","47","54","68","23","33","38","20","2","22","32","52","68","37","61","42","54","26","5","19","40","19","28","33","53","25","27","49","34","9","21","19","6","50","31","40","27","31","32","27","11","28","25","42","3","0","26","44","32","41","41","32","21","53","5","0","32","1","0","31","33","30","24","50","26","16","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	sữa fami","12","50","16","21","0","0","28","0","0","0","31","1","89","69","35","52","54","37","0","0","14","40","37","35","38","0","12","33","36","14","33","71","36","46","56","8","30","38","41","51","5","0","0","36","93","61","36","22","8","7","39","3","0","0","23","63","3","24","53","16","46","1","28","48","14","5","0","31","8","0","46","56","1","66","15","32","55","45","47","29","36","5","0","17","20","0","0","25","25","19","1"
"	trái cây","32","31","33","36","30","25","30","17","19","33","28","12","18","31","21","36","29","20","38","5","27","19","26","14","0","21","18","30","17","0","15","21","30","17","26","18","44","26","29","129","25","25","1","23","43","34","21","29","26","32","26","28","44","15","52","44","31","40","22","24","23","27","46","42","25","47","32","38","25","40","24","47","26","29","44","15","25","19","43","5","0","0","0","0","0","1","0","0","0","0","0"
"	chân gà","38","33","14","9","24","20","32","27","12","33","24","16","24","57","33","28","29","21","1","0","27","12","48","36","28","33","31","35","25","27","31","23","37","0","32","20","20","34","36","56","23","2","18","21","29","50","26","40","25","41","25","17","38","26","64","53","3","54","26","47","23","26","56","43","31","41","33","14","23","2","37","36","8","19","38","30","42","4","0","0","0","32","6","0","0","0","0","0","0","0","0"
"	khô gà","47","58","35","29","7","0","32","55","51","27","31","8","41","60","55","9","46","0","0","0","30","30","52","58","8","0","46","52","56","15","63","6","0","0","33","8","35","1","44","48","4","0","0","51","51","23","36","6","43","78","8","0","38","17","0","0","0","64","14","75","66","20","53","68","73","9","0","50","15","0","0","71","30","0","0","61","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	sữa đậu nành fami","25","49","22","16","0","0","31","26","32","6","19","4","32","45","36","57","89","50","10","29","65","24","6","24","50","2","14","61","29","12","17","1","39","17","29","13","24","42","24","28","4","0","0","52","46","61","42","1","0","30","5","0","23","13","0","0","0","35","36","81","46","31","31","26","59","14","1","18","32","47","42","82","38","33","62","53","33","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	dutch lady","54","14","29","28","0","21","24","9","10","3","15","5","55","57","29","25","74","10","0","0","0","35","36","46","65","17","31","69","167","90","82","53","5","0","21","6","13","25","30","33","5","0","0","50","57","16","31","0","26","37","1","0","18","6","0","0","0","137","44","78","46","2","19","20","14","13","7","25","2","0","12","52","45","7","0","23","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	bia 333","31","49","33","0","0","0","23","5","0","37","34","7","39","95","63","66","69","8","36","54","35","49","45","51","51","10","45","58","40","19","0","48","12","23","46","3","34","30","66","27","29","7","23","40","54","51","43","36","42","35","1","20","37","24","51","4","0","11","3","22","16","4","13","6","22","5","0","22","1","0","27","11","15","29","21","10","21","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	cá hồi","13","18","22","24","16","23","31","17","16","16","19","50","25","48","38","22","22","19","32","22","26","9","10","18","15","19","36","18","22","27","16","34","17","22","23","26","28","27","24","26","29","14","32","26","18","35","16","16","8","7","36","17","16","31","22","19","46","13","17","28","19","25","17","34","20","16","25","48","27","11","27","17","34","21","19","16","10","38","21","19","22","25","26","41","25","29","22","31","24","14","2"
"	ức gà","31","36","26","32","11","20","1","14","31","33","13","40","30","35","25","16","31","37","21","23","25","13","10","6","2","0","16","12","7","16","38","17","36","26","46","5","26","23","34","38","14","35","24","28","17","21","4","0","17","23","3","19","26","29","10","44","29","17","21","6","22","42","50","20","34","26","9","14","43","18","22","22","12","18","18","17","29","14","10","17","40","23","29","33","18","21","24","14","19","35","4"
"	snack","41","27","30","16","2","45","11","30","36","33","24","1","28","22","18","28","24","7","0","36","0","30","25","31","15","2","20","7","25","0","62","41","22","0","7","16","14","54","28","29","15","10","21","29","56","47","47","0","23","35","7","0","31","43","55","11","47","26","24","40","19","15","17","37","35","21","11","24","4","0","41","28","27","24","32","54","48","14","0","0","0","22","6","0","0","0","0","0","0","0","0"
"	sữa milo","34","34","45","22","39","5","27","28","34","61","19","38","42","124","64","19","45","33","18","38","22","18","30","33","25","5","20","42","24","8","58","18","23","4","30","4","15","23","3","42","2","0","0","22","71","8","21","9","0","31","0","0","25","29","39","5","0","29","24","11","16","27","26","4","34","15","0","24","18","0","33","26","25","3","21","48","22","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	phô mai","21","34","14","20","19","33","19","41","16","26","19","35","31","16","27","26","26","26","14","22","18","12","13","24","28","43","13","7","18","7","40","21","19","16","20","8","13","24","13","26","23","8","13","22","16","20","19","29","51","18","28","13","7","32","19","21","17","12","39","20","22","14","15","24","14","19","46","17","11","20","16","12","15","15","27","24","27","11","19","15","20","16","17","24","21","24","12","24","13","12","0"
"	vinamilk","43","64","28","0","0","0","25","37","59","2","47","18","45","134","59","8","91","13","0","0","0","28","36","84","8","0","32","52","2","0","0","55","6","0","0","0","21","5","0","61","6","0","0","62","145","22","61","7","0","0","0","0","24","5","0","0","0","41","13","0","34","6","27","6","64","4","0","46","2","0","0","38","2","0","35","49","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	khô bò","35","22","41","31","6","26","29","17","47","26","52","6","38","25","20","67","27","14","0","0","22","20","50","48","1","0","40","28","62","3","32","45","2","0","20","1","22","7","39","48","11","0","0","44","48","13","57","1","48","40","11","0","94","3","0","0","0","24","4","90","55","4","21","41","43","20","0","20","2","0","0","36","0","0","0","50","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	dầu ăn 5l","25","43","18","32","3","35","24","31","28","23","44","36","19","72","33","57","33","9","0","29","19","24","63","24","23","11","22","11","30","26","16","48","3","0","16","1","19","26","7","25","29","1","40","21","82","9","19","9","19","9","8","0","44","22","22","24","3","59","29","27","21","14","19","27","16","18","14","45","11","15","7","16","10","14","13","12","47","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"	mì tôm","46","28","35","27","0","16","29","29","29","35","19","16","28","15","31","25","26","10","0","30","21","24","29","18","20","24","13","21","12","22","18","18","30","60","31","3","12","48","27","57","22","4","7","28","77","23","34","32","47","9","23","26","21","28","40","33","44","44","15","10","13","5","19","2","8","11","0","26","4","0","22","27","25","10","36","30","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	muối hảo hảo","19","21","41","26","23","35","7","22","58","57","43","9","16","22","33","53","28","0","25","0","45","18","39","38","24","23","28","28","17","11","26","12","0","5","25","7","14","19","20","9","20","15","23","21","15","17","16","3","15","14","35","44","15","24","14","15","28","16","34","14","7","25","12","9","21","15","12","9","12","0","16","15","3","4","23","45","9","13","0","13","18","27","10","4","9","15","14","26","14","4","0"
